Ort::REDE_GIDs;Ort::Longitude;Ort::Latitude;Ort::Name;Bogennummer;Ort::Sprache;Transliteration WS29;WS29: Stammvokal Positiv;WS29: Stammauslaut Positiv;WS29: Stammvokal Komparativ;WS29: Stammauslaut Komparativ;
99217;9,38635;50,53509;ALTENSCHLIRF;28045;1;Onsere Baärg seih nett so hoch, oauh sei vill höcher;o;ch;ö;ch;
97612;9,42007;50,7215;SCHWARZ;28330;1;Ens Behrk si nett so hoch, ou si vel höcher.;o;ch;ö;ch;
96213;9,34378;50,87003;NEUKIRCHEN;28605;1;Inse Bärge (Einzahl: Bährk) seng net sehr hoch, äuwe seng vähl hecher.;o;ch;e;ch;
96729;9,35252;51,03159;ROPPERSHAIN;24412;1;Enser Berje sin nett so hoch, üje sinn vähle hecher.;o;ch;e;ch;
98544;9,33089;51,20406;METZE;24677;1;Ense Bährgä sinn nett sehr hoch, oggä sinn vählä hechcher.;o;ch;e;chch;
98507;9,30371;51,36918;ZIERENBERG;24926;1;Unse Berge sin net sehr hauch, d' jugge sin vell höcher.;au;ch;ö;ch;
103788;9,2802;51,53451;KÖRBECKE;25150;1;Usse Bi͡ärge sind ne͡-i so hauch, de juggen sind vill höchter.;au;ch;ö;cht;
103667;9,2916;51,70661;BRUCHHAUSEN;25354;1;Use Biärge sind ni hach, däi juggen sind viäl höchter.;a;ch;ö;cht;
101582;9,27971;51,88107;RISCHENAU;25543;1;Iuse Bärge sind nich düt hauch, jüwwe sind vel hȫchter.;au;ch;ȫ;cht;
107085;9,23089;52,02846;REHER;21362;1;Euse Bage sind nich sä̂u hauch, jêue sind vel hähta.;au;ch;äh;t;
105774;9,24711;52,1961;ROHDEN;21666;1;Use Bage sin nich sa heoch, jiu Bage sin vel heucher.;eo;ch;eu;ch;
114317;9,21751;52,36874;HÜLSHAGEN;21235;1;Use Barge sind nich sau hah, guhe sind viel höger.;a;h;ö;g;
107545;9,20944;52,54802;BROKELOH;21045;1;Use Barge sünd nich sau hoch, jaue sünd väl höger;o;ch;ö;g;
19434;9,71508;46,7045;WIESEN;46101;1;Ünschi Bärge sin nit so höch, wei eui.;ö;ch;;;
107943;9,21314;52,68797;DRAKENBURG;20917;1;Use Barge sünd nich sehr hoch, jeur sünd väl höger.;o;ch;ö;g;
105370;9,16808;52,87499;MAGELSEN;20753;1;Use Barge sind nich ganz grot, joue sind vull grötter.;o;t;ö;tt;
534824;9,196856353;53,02650299;ALLERDORF;47183;1;Use Barg'n sünd nich gans hoch, jone sünd vehl höger.;o;ch;ö;g;
116271;9,14746;53,2099;NEUENBÜLSTEDT;47422;1;Us Barng sünd neg gans hoch, jo sünd väl höger.;o;ch;ö;g;
106020;9,14538;53,38607;OBER-OCHTENHAUSEN;47624;1;Unser Barg'n sünd nech gans hoch, jon sind veel höger.;o;ch;ö;g;
117253;9,1253;53,53544;HÖNAU-LINDORF;48507;1;Unser Bargens sünd nicht hehl hoch, johe sünd vehl höger.;o;ch;ö;g;
113303;9,06278;53,71132;WEISSENMOOR;48324;1;Uns Bargen sönt gar ne hoch, jo sind vel höger;o;ch;ö;g;
547127;9,11080098;53,89052151;BRUNSBÜTTELERHAFEN;48233;1;Unse Barg'n sünd ni gans hoch, ju sünd vel höger.;o;ch;ö;g;
114237;9,03523;54,02143;BARLTERALTENDEICH;48105;1;Unse Barg'n sünd ni gans hoch, jumm sünd veel höger.;o;ch;ö;g;
113125;9,00073;54,19265;EDEMANNSWISCH;47885;1;Unse Barg'n sünd nich ganz hoch, jüm sünd veel höger.;o;ch;ö;g;
20533;9,74271;46,91529;FIDERIS;46079;1;Ünsch Bärge sind nid gar öch, eu sind viel höher.;ö;ch;ö;h;
110639;9,01723;54,35595;DAHRENWURTH;46407;1;Uns'r Barg'n sünd nich heel hoog, jüm sünd vä̂l höög'r.;oo;g;öö;g;
17535;9,66534;46,98498;FANAS;46059;1;Üsär Bärgä sind nid grad uhemli höch, üär sind viel höchär.;ö;ch;ö;ch;
9730;9,70087;47,21608;RÖNS;42926;1;Üsere Berga sind nit hoch, euere sind viel höher.;o;ch;ö;h;
3182;9,68872;47,36211;HOHENEMS;42843;1;Üsere Be͡arg sind nit gat hoch, euere sind viel höcher.;o;ch;ö;ch;
79504;9,68397;47,54611;LINDAU (BODENSEE);40597;1;"Isere Bearg sind et gär hoch; die eiere sind viel höcher.";o;ch;ö;ch;
129612;9,89935;47,72211;RATZENRIED;40807;1;Üsere Berg sind it gar hoh, de uire sind viel höhã̆r.;o;h;ö;h;
132320;9,86355;47,89058;ZIEGELBACH;41064;1;Eisere Berg sind it gar hoh, dia uiere sind viel höher.;o;h;ö;h;
131901;9,88168;48,04583;MITTELBUCH;38682;1;Eisere Beãrg sĩnd it so hōh, de uiere sind viel hȫer.;ō;h;ȫ;;
128322;9,8845;48,20597;BAUSTETTEN;37354;1;Eisere Bärg send it arg hauh, de uiere send viel haier.;au;h;ai;;
128359;9,87924;48,36355;EGGINGEN;37607;1;Eisèrè Bèrg sand it arg hau, di͜e uira sand viel haier.;au;;ai;;
132857;9,85361;48,52731;RADELSTETTEN;37869;1;Onsre Berg send net so hauch de uire send viel heicher.;au;ch;ei;ch;
130160;9,8211;48,71191;WINZINGEN;38136;1;Onsre Bèrg sind net arg hau, de uire sind viel haier.;au;;ai;;
131913;9,81435;48,88102;RUPPERTSHOFEN;38422;1;Osa̰ra Berg send net arag hauch, de uire send viel haier.;au;ch;ai;;
129426;9,76976;49,02851;EUTENDORF;34535;1;Onsa̰re Bärich senn net so ho̰a̰ch, eure senn viel hö̰a̰cha̰r.;o̰a̰;ch;ö̰a̰;ch;
130602;9,77159;49,22127;DÖTTINGEN;34791;1;Unser Bèrch san̮ nétt sou a̱rch ho̰a̰ch, aire san̮ no̰a̰ch viel hä̱cher.;o̰a̰;ch;ä̱;ch;
127424;9,75131;49,37199;AILRINGEN;34044;1;Unsere Berich senn nit so hoch, die euriche sind viel höcher.;o;ch;ö;ch;
127954;9,73105;49,54759;KÖNINGSHOFEN;34247;1;"Uner Bärich sann nit sou hoach; euari san̄ viela höächr.";oa;ch;öä;ch;
84346;9,72212;49,71075;STEINBACH;33381;1;Unner Berk senn gar nit ho͜ëch, euri senn viel hö͜ëcher.;o͜ë;ch;ö͜ë;ch;
77833;9,69494;49,85804;BIRKENFELD;33677;1;Unner Berk senn nit sehr houch, euere senn viel höcher.;ou;ch;ö;ch;
90954;9,70265;50,03536;MASSENBUCH;27163;1;Uner Berg sen nit sehr hoach, euere sind viel höacher.;oa;ch;öa;ch;
72810;9,68792;50,24181;ROSSBACH;27469;1;Onner Barg sein net so hōch, äuiere (äu fast ei) sein viel höcher.;ō;ch;ö;ch;
97574;9,6511;50,39612;EICHENRIED;27775;1;Onnse Baerg senn nett se hoch, die euer senn vill höchcher.;o;ch;ö;chch;
97303;9,67469;50,55356;FULDA;28063;1;Onser Berg sen net sehr hoch, euer sen vill höcher.;o;ch;ö;ch;
98359;9,65184;50,70307;GROSSENMOOR;28346;1;Onse Bä(r)k (br.) sen net sähr (br.) hoch, äien (eure) sen vil höcher.;o;ch;ö;ch;
98442;9,64613;50,89148;GITTERSDORF;28623;1;Onse Bärge sen net sähr hoch, de euwer sen fill hecher.;o;ch;e;ch;
95575;9,63006;51,04594;KONNEFELD;24431;1;Unse Bährge sinn net so hoch, üwwe si͡enn vehle höchcher.;o;ch;ö;chch;
100950;9,59177;51,21072;WATTENBACH;24695;1;Onse Bärge senn nett hoch, de uggern sänn väle höchcher.;o;ch;ö;chch;
105985;9,56267;51,37759;SPEELE;24942;1;Unse Bärge sin nit ganz hoch, ugge Bärge sin vele höcher.;o;ch;ö;ch;
98123;9,58599;51,57712;GOTTSTREU;25163;1;Use Berge sied nich sehr hach, dei jouichen sied viel hocher.;a;ch;o;ch;
113416;9,55747;51,68976;SCHￃﾖNHAGEN;25363;1;Use barge sünt nich seer haug, jue sünt vele höchter.;au;g;ö;cht;
111168;9,52332;51,86619;LOBACH;25560;1;Iuse Barge sind nich ganz hauch, dei iu en sind ve̅l höchter.;au;ch;ö;cht;
111651;9,54208;52,04508;HARDERODE;21384;1;J͡use Barge sind nich sö͡u hä͡auch, ji͡u sind viel höchter.;ä͡au;ch;ö;cht;
116182;9,55567;52,20741;SPRINGE;21679;1;Use barge sind nich sãũ hoch, jũe sind vẽl höchter.;o;ch;ö;cht;
108796;9,48492;52,38681;HOLTENSEN;21252;1;Juse Barge sind nich gans heoch, jue sind veel heuger.;eo;ch;eu;g;
112440;9,46636;52,53603;EMPEDE;21050;1;Use Berge sünd nich ganz hoch, jue sünd vel höger.;o;ch;ö;g;
543869;9,481851913;52,66567501;UNTERRODEWALD;20920;1;Use Barge sünd nich ganz hoch, jo͜ue sünd väl höger.;o;ch;ö;g;
112130;9,43239;52,86343;NORDKAMPEN;20763;1;Use Barge sünd nig sehr hoch, jue sünd vehl höger.;o;ch;ö;g;
112630;9,4597;53,03452;RIEKENBOSTEL;49311;1;Use Bargen sünd nich so hoch, june sünd veel höger.;o;ch;ö;g;
105676;9,40421;53,19342;HETZWEGE;49562;1;Us Barg sünd nicht gans hoch, john sünd vel höger.;o;ch;ö;g;
112123;9,42586;53,365;WANGERSEN;49813;1;Uns Bargen sünd nich gans hoch, john sünd höger.;o;ch;ö;g;
115523;9,38434;53,5502;SCHWINGE;50073;1;Un's Barg sünd nich gans hoch, jo'n sünd veel höger.;o;ch;ö;g;
114186;9,38137;53,71165;DROCHTERSEN;49146;1;Uns Bargen sünd neech gans hoch, jau sünd vähl höger.;o;ch;ö;g;
108237;9,33008;53,86164;BROKDORF;48239;1;Uns Barg'n sünd nich ganz hoch, ju sünd vehl höger.;o;ch;ö;g;
115903;9,34836;54,04212;HOLSTENNIENDORF;48115;1;Uns Barg'n sönd ni gans hoch, ju sönd väl höger.;o;ch;ö;g;
547042;9,309525305;54,20670884;OESTERBORSTEL;47893;1;Unser Barge sünd nie gans hog, jüm sünd väl höger.;o;g;ö;g;
17985;9,88017;46,88004;KLOSTERS;46083;1;Uensch Bärga sind nit grad höch, dié van eu sind viel höher.;ö;ch;ö;h;
114791;9,32093;54,37498;BERGENHUSEN;46420;1;Unser Bargn sünd ni so hoch, jümm sünd vääl hööger.;o;ch;öö;g;
104548;9,29715;54,56549;SOLLERUPFELD;46652;1;Unse Bargn sünd nich ganz hoch, ji sünd vēl höcher.;o;ch;ö;ch;
116692;9,25023;54,71004;GROSSENWIEHE;46784;1;Unse Barge sind nich so hoch, ju sind fähl höger.;o;ch;ö;g;
9137;9,91962;47,0796;SCHRUNS;42977;1;Üs'ri Berg sind net roß hoch, di eura sind viel höher.;o;ch;ö;h;
748;9,95159;47,24486;BUCHBODEN;42933;1;Oensche Bärg sind nit grad hoch, A-i sind viel höher.;o;ch;ö;h;
1690;9,92969;47,36918;BIZAU;42850;1;Üsor Bearg seand nüd grob hoh, üor seand viel höor.;o;h;ö;;
534361;9,920912754;47,54890348;SCHNELLERS;40605;1;Isrè Béārg sind it so hōh, die öiere sind vièl höher;ō;h;ö;h;
535603;10,12658869;47,70975489;KREUZTHAL;40819;1;Eisere Bearg send söhr ho̰ach, die uira send viel heaher.;o̰a;ch;ea;h;
91094;10,13795;47,88954;MARIA STEINBACH;41076;1;Eusa̰ra̰ Bearg sind it bsondrs hoh, dia uia̰ra̰ sind viel höher.;o;h;ö;h;
128901;10,12798;48,0594;UNTEROPFINGEN;38695;1;Eisere Berg sind gar it hoh, de uiere sind vill höher.;o;h;ö;h;
81585;10,10404;48,22279;ILLERTISSEN;37369;1;Äußere Berg sind it gar hoha, de uire send viel heher.;o;ha;e;h;
74978;10,10684;48,37944;HOLZHEIM;37622;1;Eisere Berg sind net arg ho̰a, de uire sind viel hear.;o̰a;;e;;
131298;10,0765;48,55285;BALLENDORF;37883;1;Õsåre Bärk sennd ett so hóå, de uire sennd vīel hö́ar.;óå;;ö́;;
132357;10,06418;48,72989;ZANG;38146;1;Ō̰sere Berg send et so arg hoa, uire send viel heăr.;oa;;e;;
129290;10,0482;48,8833;FACHSENFELD;38437;1;O̰ser' Berg' send net arg hoa̰, de uire send viel häher.;oa̰;;ä̱;h;
133651;10,03779;49,07016;HONHARDT;34545;1;Unser Berch san̄ nit sehr hoach, eure san̄ viel hecher.;oa;ch;e;ch;
131563;10,00529;49,21815;GAGGSTATT;34802;1;Unser Bèrch san̄ nidd orich hoach, diè airè san̄ viel hǟchèr.;oa;ch;ǟ;ch;
131053;10,04968;49,41216;LICHTEL;34058;1;Un̄er Berg san̄ nit sehr ho̰ch, euri san̄ viel hächer.;o̰;ch;ä̱;ch;
71509;10,00364;49,53411;AUFSTETTEN;34266;1;Unser Berg senn nit sehr haach, eura senn viel häachr.;aa;ch;äa;ch;
87569;10,00107;49,72382;EIBELSTADT;33400;1;Uner Barg senn niat orig hoach, euere senn viel höacher.;oa;ch;öa;ch;
85120;10,01031;49,88363;RUPPRECHTSHAUSEN;33692;1;Unner Berg senn nit sou houch, euera senn viel höicher.;ou;ch;öi;ch;
83244;9,97227;50,0501;NEUBESSINGEN;27186;1;Uner Berk sen nit sou hoach, eu'ra sen viel höachar.;oa;ch;öa;ch;
88638;9,95785;50,22152;HASSENBACH;27480;1;Unner Barg sänn nitt hoach, euara sänn viel höcher.;oa;ch;ö;ch;
89689;9,91324;50,3768;WILDFLECKEN;27792;1;Unsa Barg sen net so hōch, e'u er sen vi'el höcher;ō;ch;ö;ch;
99744;9,93294;50,55401;RUPSROTH;28080;1;Onsere Bärg sen net sähr hoch, euer sen vill höher.;o;ch;ö;h;
95571;9,89733;50,71974;RASDORF;28358;1;Onsär Berjä senn nätt sehr hoch, euer senn vill höcher.;o;ch;ö;ch;
95036;9,92366;50,8871;HERFA;28640;1;Ons Berge senn net sehr hoch, auwe senn vel höchher.;o;ch;ö;chh;
96740;9,8863;51,06005;BERNEBURG;24454;1;Onse Beerge sen net sehr hoch, ure sen vele hächer.;o;ch;ä;ch;
101088;9,90463;51,20911;VOCKERODE;24715;1;Unsere Bǟrge sinn nidd ser hoch, die uhren sinn vehl hucher.;o;ch;u;ch;
100251;9,86152;51,40459;HERMANNRODE;24959;1;Use Barge sind net sau hach, de jewen sind wel höcher.;a;ch;ö;ch;
115273;9,84441;51,56385;ESEBECK;25179;1;Use Barge sind nich sau sehr hoch, jue sind vele höcher.;o;ch;ö;ch;
104519;9,81843;51,72098;OLDENRODE;25373;1;Ëuse Barge sind nich seau hach, dei andern sind viel högger;a;ch;ö;gg;
112147;9,80806;51,87024;WENZEN;25579;1;Juse (iuse) Barge sind nich sä-u hauch, jiue sind vi-ele höchter.;au;ch;ö;cht;
108868;9,78734;52,05878;RHEDEN;21405;1;Juse Barge sind nich sä=u= hä=u=ch, jiue sind väl höchter.;ä=u;ch;ö;cht;
109400;9,76348;52,21504;VARDEGￃﾖTZEN;21687;1;J͡use Barge sind nich heoch, ji͡ue sind heuger.;eo;ch;eu;g;
113565;9,75132;52,3891;LIST;21280;1;Use Barge sind nich owerdas hoch, ju sind veel höger.;o;ch;ö;g;
106668;9,76477;52,55174;GAILHOF;21065;1;Use Barge sünd nich sau hoch als juhe, juhe sind viel höjer.;o;ch;ö;j;
107228;9,75629;52,67757;THￃﾖREN;20933;1;Uhse Barge sünd nich sehr hoch, jue sünd vähl höger.;o;ch;ö;g;
104720;9,7293;52,88191;VIERDE;20774;1;Use Barng'n sünd nich gans hoch, jaune sund höger.;o;ch;ö;g;
115425;9,68499;53,04779;BROCHDORF;49322;1;Us Barge sünd nich ganz hoch, jue sünd veel höcher.;o;ch;ö;ch;
117368;9,74297;53,2407;OTTER;49569;1;Un'ns Barg'n sünd nich sehr hoch, ja͡oun sünd vel höger.;o;ch;ö;g;
106002;9,64625;53,379;REGESBOSTEL;49821;1;Use Barge sünd nich sehr hoch, jau'e sünd veeïl höger.;o;ch;ö;g;
547428;9,652825404;53,56253675;WISCH;50087;1;Uns Barg sünd neg ganz hoch, jau sünd vel höger.;o;ch;ö;g;
111287;9,64927;53,70258;GROSS NORDENDE;49162;1;Uns're Bărgen sind nicht sehr hoch, ju (Bargen) sind vêhl höher.;o;ch;ö;h;
115465;9,59053;53,86975;RETHWISCH;48790;1;Uns Bargen sünd ni doll hoch, ju sünd veel höger.;o;ch;ö;g;
107539;9,63427;54,06696;JAHRSDORF;48126;1;Uns Barg'n sönd ni hehl hog, ju sönd vel höger.;o;g;ö;g;
113405;9,62152;54,18985;HAMWEDDEL;47907;1;Uns Barg'n bünd ni heel hog, ju bünt vähl höger.;o;g;ö;g;
535419;10,18908688;46,95780239;GALTￃﾜR;46071;1;Insari Bearg seii nit föst hoach, die önkara seii heechar.;oa;ch;ee;ch;
104920;9,60329;54,39392;OWSCHLAG;46430;1;Uns Barg'n sünd nig so ganz hog, ju sünd väl höger.;o;g;ö;g;
110275;9,53279;54,55137;NEUBEREND;46666;1;"Unse Bargn sind nich so hoch, ju sind vel höcher (""ju ehrn"" wird nicht gesag[...]";o;ch;ö;ch;
106876;9,53735;54,71602;ESTRUP;46798;1;Unse Bargen sind nich so bannig (gräftig, fei, fahlig) hoch, ju sind veel höcher.;o;ch;ö;ch;
546584;9,527650699;54,88239225;BEKEN (BￃﾆKKEN);46924;1;Unse Bargen sind nich so hoch, ju sind veel höger.;o;ch;ö;g;
8018;10,24492;46,9884;MATHON;46070;1;Insari Bearg sei nit gråd håach, die enkara sei viel heachr.;åa;ch;ea;ch;
535422;10,14178;47,20829;LECH;42939;1;Önsch Berg send ned gad hōu, aib send viel höier.;ōu;;öi;;
4515;10,18618;47,35752;RIEZLERN;42856;1;Önsch Berg send ned so ho, ei send vil höher.;o;;ö;h;
72151;10,13498;47,56238;RATHOLZ;40613;1;Üsrĕ Béa̰rg sind it schtark ho, dĕ uirĕ sind viel höhér.;o;;ö;h;
88458;10,37842;47,73522;BETZIGAU;41971;1;Eu̱sre̮ Be̱a̱rg si̱nd i̮t ga̱r a̮ so̮ ho̱h, da̮nu̱i̱re̮ sind viel höher.;o̱;h;ö;h;
71373;10,36106;47,90072;OLLARZRIED;41819;1;Unserḛ Bearg send it so ho', de uire send viel hóh'r.;o;;ó;h;
89286;10,34917;48,07733;ARLESRIED;39356;1;Eisere Berg send it so hō, dĭ uire send viel heher.;ō;;e;h;
71494;10,37948;48,22448;NIEDERRAUNAU;39517;1;Eisĕra̰ Berg send it so hooch wia de ĕiĕra̰.;oo;ch;;;
76916;10,35773;48,39694;WETTENHAUSEN;39693;1;Unsere Berg sind net so hoa, die uira sind viel höar.;oa;;ö;;
93272;10,32391;48,56885;OBERMEDLINGEN;37900;1;Õnse̮ré Berg sénd nét so gar hõã, d͜ie uiré sénd viel hõãr.;õã;;õã;;
129855;10,29294;48,731;AUERNHEIM;38155;1;Ṵsere Berg sind et arg hòa, dï u͜ire sind vi̮l hö͜ar.;òa;;ö͜;;
130117;10,31352;48,90259;BALDERN;38448;1;Unsere Berg send net hoch, die uirige send viel höcher.;o;ch;ö;ch;
84337;10,29368;49,06036;SEGRINGEN;34557;1;Unser' Berg' sin net so arg hoach, eire sin vill häecher.;oa;ch;äe;ch;
83055;10,30317;49,2154;DORFGￃﾜTINGEN;34818;1;Unser Berg san nit arig hoach, eur san vill häacher.;oa;ch;äa;ch;
80976;10,29855;49,39891;WINDELSBACH;34065;1;Uner Bärg sann nì̆t sehr hoach, die eura sann vì̆l häachĕr.;oa;ch;äa;ch;
85270;10,26555;49,57552;WEIGENHEIM;34288;1;Unner Berg senn nit sou hag, eueri senn viel hächer.;a;g;ä;ch;
89128;10,24405;49,72856;RￃﾖDELSEE;33420;1;Uner Berg sin nit sehr hoach, eura sin viel höachr.;oa;ch;öa;ch;
83058;10,22647;49,88995;GAIBACH;33711;1;Unner Barg senn nit arg hoch, Eura senn viel höcher.;o;ch;ö;ch;
73843;10,2216;50,0744;DITTELBRUNN;27209;1;Uner Berg sen niat sou hach, eura sen viel höach'r.;a;ch;öa;ch;
89284;10,23457;50,21516;POPPENLAUER;27501;1;Unner Berg senn niät sou hoäch, euärä senn viel höächer.;oä;ch;öä;ch;
86475;10,20383;50,40168;BASTHEIM;27807;1;Unner Berg sen nit so hoch, euere sin viel höcher.;o;ch;ö;ch;
141319;10,19182;50,57012;GERTHAUSEN;28107;1;Uns Bärg sinn niet so hoch, euere sinn vill höcher.;o;ch;ö;ch;
140563;10,16738;50,70277;WIESENTHAL;28369;1;Ons Bärg senn nett sähr hooch, euer senn vill höcher.;oo;ch;ö;ch;
140225;10,14264;50,87761;FRAUENSEE;28651;1;Onse Bärg sein net sehr houcht, euwere sein vill hecher.;ou;cht;e;ch;
546475;10,54690805;46,59833157;STILFS (STELVIO);-46262;1;insere berg sein it a sou hoach, di enkern sein vil heachr.;oa;ch;ea;ch;
98981;10,13366;51,0732;LￃﾜDERBACH;24466;1;Unse Bärge sinn nitt sihr huch, die uren sinn vele hecher.;u;ch;e;ch;
138955;10,14349;51,22692;GROSSTￃﾖPFER;24737;1;Unser Bärge sinn nit so hoch, deh üren sinn vele hecher.;o;ch;e;ch;
141207;10,10111;51,40024;MENGELRODE;6171;1;Unsere Berge sinn nit sähr hach, die uhren sinn vele ha̎cher.;a;ch;a̎;ch;
112706;10,11311;51,57322;EBERGￃﾖTZEN;25197;1;Usĕ Berje sind nich sehr hach, joue sind vēle hö̆cher.;a;ch;ö̆;ch;
112731;10,12307;51,7211;MARKE;25391;1;(Ju)se Barge sind nich s(eau) h(eau)ch, j(iu)he sind viele höcher.;eau;ch;ö;ch;
108993;10,06521;51,88856;ACKENHAUSEN;25596;1;Juse Barge sind nich sea hauch, dei giue sind viele höchter.;au;ch;ö;cht;
107455;10,08174;52,038;NETTE;21429;1;J-͝use (i-͝u-se) Barge sind nich recht hoch, ji-͝u-e sind vehl högger (höchter);o;ch;ö;gg (cht);
111284;10,03434;52,21999;RAUTENBERG;21707;1;Juse Bärge sünd nich sau gans heoch jiue sünd vel högger.;eo;ch;ö;gg;
115927;10,06143;52,39489;IMMENSEN;21295;1;Use Barge sünd nich sau hoch, jue sünd viel höger.;o;ch;ö;g;
105433;10,0574;52,56429;ADELHEIDSDORF;21074;1;Use Barge sünd nich sehr hoch, de juhen sünd viel höger.;o;ch;ö;g;
546331;10,52936081;46,7107352;BURGEIS (BURGUSIO);-46217;1;Insre Berge sein it gor a sou hoach, die e[n?]chrn sein viel heachr.;oa;ch;ea;ch;
106750;9,98769;52,73449;HASSEL;20936;1;Uuse Barge sünd nich sehr hoch Jue sünd veel höger.;o;ch;ö;g;
112245;9,97514;52,91878;WIETZENDORF;20710;1;Us Barg sünd nich sehr hoch, jaun' sünd väl höger.;o;ch;ö;g;
112343;9,99781;53,08488;BISPINGEN;49332;1;Us Bargen sünd nich hoog, jãne sünd vähl hööger.;oo;g;öö;g;
104882;10,00938;53,22233;OLLSEN;49579;1;Us Bargen sünd nech so hoch, jaun sünd väl höger.;o;ch;ö;g;
105969;9,92661;53,40705;TￃﾖTENSEN;49828;1;Ūs Barg'n sünd nich sehr hoch, juƷn sünd veel höger.;o;ch;ö;g;
108945;9,92842;53,5542;OTTENSEN;50117;1;Unse Baarg sönd nicht regg hoch, ju sönd veel höger.;o;ch;ö;g;
108360;9,89519;53,73194;QUICKBORN;49176;1;Uns Bargn de sünd nich hoch, de Annern ehr sünd höger.;o;ch;ö;g;
107683;9,88862;53,87033;LENTFￃﾖHRDEN;48800;1;Uns Barg'n sönd nich heel hoch, ju sönd väl höger.;o;ch;ö;g;
106194;9,8945;54,05265;EHNDORF;48141;1;Unse Bargen sünd nig heel hoch, ju sünd väl höger.;o;ch;ö;g;
105273;9,88642;54,21312;WARDER;47916;1;Uns Barg'n sönd ni sehr hoch, ju sönd veel höger.;o;ch;ö;g;
6360;10,49966;46,88969;NAUDERS;46385;1;Insra Bearg sein nit a so hoach, enkriga sein viel heachr.;oa;ch;ea;ch;
115164;9,85497;54,39931;HOLTSEE;46443;1;Uns Barg'n sünd nich gans hoch, ju sünd vêhl höcher.;o;ch;ö;ch;
113808;9,86157;54,5608;ZIMMERT;46684;1;Unse Barg'n sind nich väl hoch, ju sind höger.;o;ch;ö;g;
113555;9,82753;54,7088;WIPPENDORF;46806;1;Unser Bargen sind nicht so gräsig hoch, jues sünd veel höger.;o;ch;ö;g;
546216;10,42385701;47,07414704;HOLDERNACH;43133;1;Insari Bearg sei nit goarso hoch, die enkara sei viel heacher.;o;ch;ea;ch;
7337;10,40366;47,27019;BACH;43027;1;Uensera Bearg sei'n nit so hoach, dia enkara sei'n viel höacher.;oa;ch;öa;ch;
7660;10,45746;47,35978;HINTERHORNBACH;43004;1;Insre Bearg seiâ it går so hoach, die enkre seiâ viel heachr.;oa;ch;ea;ch;
75067;10,4287;47,54427;UNTERJOCH;42056;1;Unsere Berge sind nicht so hoch, wie die euern.;o;ch;;;
70998;10,64225;47,72354;SULZSCHNEID;41980;1;Eisre Berg sind it gar so hoach, de n'uibre sind viel heachĕr.;oa;ch;ea;ch;
83571;10,62392;47,8793;KAUFBEUREN;41836;1;Eusere Berg sind it arg hoch, die uire sind viel höācher;o;ch;öā;ch;
79195;10,64019;48,06227;TￃﾜRKHEIM;39370;1;Eiserr Berg send net arg hoach, de uirḛ sind viel hear..;oa;ch;e;;
82192;10,59053;48,22651;WALKERTSHOFEN;39529;1;Unsre Berg sind nit arg hoach, di uire sind viel hehar.;oa;ch;e;h;
88455;10,59655;48,39991;ZUSMARSHAUSEN;39710;1;Unsere Berg sind nit bsonders hoach, die úire sind viel heacher.;oa;ch;ea;ch;
81558;10,59756;48,568;KICKLINGEN;38720;1;Unsre Berg sind net sehr hoch, die eure sind viel höher.;o;ch;ö;h;
72973;10,5672;48,73137;FRONHOFEN;38935;1;Osere Berg send nét gar hoach, die uire send viel höa̰her.;o;ch;ö;h;
92861;10,55239;48,90411;DￃﾜRRENZIMMERN;39160;1;O̰nsere Berg send net gar hoa, dia uire send viel höacher.;oa;;öa;ch;
86624;10,55891;49,05667;RￃﾖCKINGEN;34838;1;Unser' Bärig sen̄ nit so gar hoch, eueri sen̄ viel höcher.;o;ch;ö;ch;
92821;10,54482;49,22796;RAUENZELL;35055;1;"Unsere Berig sau nit recht hoach; die euren san vie höacha.";oa;ch;öa;ch;
90207;10,50832;49,40157;FLACHSLANDEN;35223;1;Uner Berg senn nit arg hach, eiera seim viel haîher.;a;ch;aî;h;
77313;10,51095;49,58186;UNTERNESSELBACH;35517;1;Unera Barig senn nit so hoach, eura senn vill hächer.;oa;ch;ä;ch;
73801;10,47624;49,74814;HAAG;35710;1;Unr Barg senn nid arg hach, eura senn hächr.;a;ch;ä;ch;
78900;10,49998;49,88641;GEUSFELD;35824;1;Unner Barg senn nitt sehr hoach, die euere senn vill höcher;oa;ch;ö;ch;
92995;10,47912;50,0693;UCHENHOFEN;12594;1;Unnere Berg sen net so sähr hach, die euern sen viel hächer.;a;ch;ä;ch;
79021;10,4955;50,24929;AUB;11763;1;Uner Berg sen net sèhr hòch, eura sen viel höcher.;ò;ch;ö;ch;
142488;10,49026;50,41091;SￃﾜLZDORF;11896;1;Onner Baĕrg senn net schwenn hoch, die euern senn vill höcher.;o;ch;ö;ch;
137045;10,41715;50,57103;MEININGEN;12153;1;Onsere Bärg senn net ser hoch, eure senn viel höcher.;o;ch;ö;ch;
542256;10,4237421;50,7188194;HAINDORF;10974;1;Ons Bährk sen net sehr hoch, (de) euere sen vil höcher.;o;ch;ö;ch;
142683;10,42573;50,91165;SEEBACH;11262;1;Unsere Bäri sin nich sihr huch ubere sin fel hücher;u;ch;ü;ch;
546393;10,70118629;46,61743807;LAAS (LASA);46267;1;Insere Berg sein it gor a so hoach, euchere sein viel heachr;oa;ch;ea;ch;
