Korrekturstatus;Quadrant;Bogennummer;REDE_Namen;Name;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;Erhebung;Allgemeine Anmerkungen zum Schreiber;WS26:Wortform;WS26:Stammvokal;WS26::Transliteration WS26;WS26::Anmerkungen WS26;WS33:Wortform;WS33:Stammvokal;WS33::Transliteration WS33;WS33::Anmerkungen WS33
korrigiert: Link;50/19;17882;Wenkerschlag (Dolní Radouň);WENKERSCHLAG (DOLNￃﾍ RADOUￅﾇ);15,002329;49,202983;540970;1;Marburg;6;Kurrent;Haus;au;Hintr insarn Haus steïhn 3 schöine Öïpflbam mit roïdn Apfalan. ;;Heisa;ei;Sei Bruidr wül si zwoi scheïne Heisa in eïnkarn Goartn bau.;
korrigiert: Link;49/18;17884;Buchen (Buk);BUCHEN (BUK);14,95741261;49,13556567;545696;1;Marburg;6;Kurrent;;;Bä ins hintaus stein drei scheini Eipflbam mit roidn Apfalän. ;;Heisr;ei;Sei Bruidr wl si zwoi scheini neii Heisr in eingën Gortn bau.;
korrigiert: Link;50/18;17895;Hosterschlag (Člunek);HOSTERSCHLAG (ￄﾌLUNEK);15,12750069;49,11172776;545706;1;Marburg;6;Kurrent;Haus;au;Hinta us (Hinter insern) Haus steïhn drei scheïni Opflbam mit roitn Opfilan.;;Heiser;ei;Sei Bruidr wll si zwoi scheïni naigi Heiser in eïngrn Goatn bau.;
korrigiert: Link;51/18;17898;Lipolz (Lipolec);LIPOLZ (LIPOLEC);15,35769926;49,08701313;545709;1;Marburg;6;Kurrent;Haus;au;Hinter inserm Haus stian drei schei̱ne Öpfelbam mit roite Opfaln.;;Heiser;ei;Sei Buida wüll sie zwoa scheini neui Heiser an ihrn Goart'n bau.;
korrigiert: Link;56/19;17940;Czernowitz (Černovice);CZERNOWITZ (ￄﾌERNOVICE);16,63439555;49,18723537;545741;1;Marburg;6;Kurrent;Haus;au;Hinta insern Haus stehn draj schejna Opflpama mit rotn Ejpfln.;;Haisa;ai;Sei Pruida bil sich zwoa schöna, naja Haisa an enkern Gaatn baun.;
korrigiert: Link;57/19;17942;Gundrum (Komořany);GUNDRUM (KOMOￅﾘANY);16,90652995;49,21777218;545743;1;Marburg;6;Lateinschrift;Haus;au;Hetr ensern Haus stejn droi scheinea Äpflpamr mit roten Opfalean. ;;Hoiser;oi;Soi Pruada bl szach zboi schejnea nuia Hoiser ea einkern Gortn pau.;
korrigiert: Link;55/18;17956;Prahlitz (Pravlov);PRAHLITZ (PRAVLOV);16,48229302;49,05485994;545755;1;Marburg;6;Kurrent;Haus;au;Hinta insan Haus steïn drei Äpfelbam mit routen Äpfeln.;;Häusln;äu;Sei Bruida wüll sich zwa schöïne neie Häusln in engan Goatn baun;
korrigiert: Link;56/18;17961;Woikowitz (Vojkovice);WOIKOWITZ (VOJKOVICE);16,60669491;49,05257221;545760;1;Marburg;6;Kurrent;Haus;au;Hinta insan Haus stehn drei Opflbam mit scheen rote Opfln.;;Haisa;ai;Sei Bruida bill si zwa scheene, neeiche Haisa in Goaten aufstelln.;
korrigiert: Link;71/21;17967;Sub-Lechnitz (Lechnica);SUB-LECHNITZ (LECHNICA);20,40843205;49,38054456;547187;1;Marburg;6;Kurrent;Haus;au;Hinaer unserum Haus stehn drei schena Äplpem, mit rota Äpla.;;Hejser;ej;Sein Prutar well sich zwei schena neja Hejser in ejarun Karta paua;
korrigiert: Link;71/20;17968;Topportz (Toporec);TOPPORTZ (TOPOREC);20,49157246;49,26407216;545764;1;Marburg;6;Kurrent;Haus;au;Hener unsern Haus stäjn drai schëjne Appelbäüm mit räudn Appelchn.;;Haoser;ao;Sain Brud'r well sech zwai schäjne noie Haoser ën euren Goot'n baun.;
korrigiert: Link;72/20;17972;Hobgard (Chmeľnica);HOBGARD (CHMEￄﾽNICA);20,73249786;49,29620693;545767;1;Marburg;6;Kurrent;Haus;au;Hënter onsern Haus stihn schiene Oppubëme mët rutn Öppüchen. ;;Häuser;äu;Seiner Bruder wëul sich zwaa neije Häuser ën eijeren Gort'n baun.;
korrigiert: Link;70/19;17981;Neu Walddorf (Nová Lesná);NEU WALDDORF (NOVￃﾁ LESNￃﾁ);20,26734886;49,1223043;547189;1;Marburg;6;"Schreibmaschinenschrift mit handschriftlichen Korrekturen; Verwendung phonetischer Zeiten";Haos;ao;Hënter onzern Haos s̆tejn draᵢ schejne Apelbäum met räutn̥ Äpl̥chen.;;Hoizer;oi;Zain Bruuder wël zich tsvai schejne noie Hoizer ën oiern Gortn̥ baon.;
korrigiert: Link;71/19;17993;Durelsdorf (Tvarožná);DURELSDORF (TVAROￅﾽNￃﾁ);20,4730914;49,08532369;547202;1;Marburg;6;Kurrent;Haus;au;Henter unsern Haus stein drei Apelbeim mit reudn Äpeln.;;Häusr;äu;Sein Bruder wel sich 2 neuje Häusr en eurn Gortn baun.;
korrigiert: Link;72/19;17999;Leutschau (Levoča);LEUTSCHAU (LEVOￄﾌA);20,58848476;49,02564128;547208;1;Marburg;6;Schreibmaschinenschrift mit handschriftlichen Korrekturen;Haus;au;Hënder unsern Haus stëihn drei schäine Äppelbäim mët räudn Äppelchen. ;;Häuser;äu;Sein Bruder wëll sich zwei schäine neue Häuser ën euren Gorten baun.;
korrigiert: Steinicke, überprüft: Link;55/46;180;Galowo;GALOWO;16,69276;53,74786;161335;1;Marburg;1;"Kurrent; sehr gut lesbare, klar profilierte Schrift mit einzelnen Korrekturen; Sonderzeichen <ë>, wobei das Trema mit zwei Punkten und nicht mit bei den Umlauten mit zwei Strichen realisiert wurde; ab Nr. 20 andere Tinte; auf Seite 2 nach NB nichts bemerkt";Hus;u;Hinne usem Hus stohe drei schmuk Aeppelbäumkes mit rohde Aeppelkens.;;Hüse;ü;Sië Braude will sick twei schmuk nieg Hüse i jugem Goade buge.;
korrigiert: Link;71/18;18000;Zipser Neudorf (Spišská Nová Ves);ZIPSER NEUDORF (SPIￅﾠSKￃﾁ NOVￃﾁ VES);20,56768978;48,94297995;547205;1;Marburg;6;Lateinschrift;Haus;au;Honter unsern Haus stejn drai schejne Epfelbejm mit reuden Eppelchen.;;Hajser;aj;Sein Bruder well sich zwei schejne naje Hajser en ejern Gorten baun.;
korrigiert: Link;72/18;18001;Wagendrüssel (Nálepkovo);WAGENDRÜSSEL (NÁLEPKOVO);20,62;48,84;547213;1;Marburg;6;Schreibmaschinenschrift mit handschriftlichen Korrekturen;Haus;au;Hëna ounsan Haus stëhn drei schëne Äpelpäm mët rodn Äplchen.;;Häusa;äu;Sei Bruoda bëll sich zbá schëne neue Häusa ën enkan Goatn paun.;
korrigiert: Link;73/18;18003;Göllnitz (Gelnica);GￃﾖLLNITZ (GELNICA);20,93372629;48,85146308;547212;1;Marburg;6;Lateinschrift;Haus;au;Henta unsan Haus stehn drei schéne Äppelpám met rotn Äppichen. ;;Häusa;äu;Sei Pruda bell sich zba schene neue Häusa en enkan Gartn pauen.;
korrigiert: Link;71/17;18004;Dobschau (Dobšiná);DOBSCHAU (DOBￅﾠINￃﾁ);20,36687276;48,8196973;547211;1;Marburg;6;"Schreibmaschinenschrift mit handschriftlichen Korrekturen; Anmerkung des Lehrers am Anfang von Seite 1: Achtung! Die rot unterstrichenen Wörter (Laute) sind falsch!, dies wird in der Transliteration mit   ̱ wiedergegeben.";Haus;au;Hender unsern Haus stehn drei sche̱ne Äpfelpe̱m met ro̱den Äppelchen. ;;Häuser;äu;Sei Bruder bell sich zwa schena neua Häuser en euren Goaten pauen.;Bruder: korrigiert, d und e durch Bogen verbunden (Brud ͜er)
korrigiert: Link;72/17;-18008;Schmöllnitz (Smolník);SCHMￃﾖLLNITZ (SMOLNￃﾍK);20,74010208;48,73016195;547215;1;Marburg;6;Lateinschrift;Haus;au;Henta unsan Haus stehn drei schéne Äplpám met rótn Äpachen.;;Heisa;ei;Sei Prúda bel sich zwa schéne náje Heisa en enkan Goatn paun.;
korrigiert: Link;73/17;18010;Metzenseifen (Medzev);METZENSEIFEN (MEDZEV);20,90633397;48,71071744;547217;1;Marburg;6;Lateinschrift;Haus;au;Hénta onsen Haus stéhn drai Äplpahm mit rode Äpln.;;Häusa;äu;Sai Pruda bél om en sain Goatn zba schöne Häusa paun.;
korrigiert: Link;44/17;18013;Buchwald (Bučina);BUCHWALD (BUￄﾌINA);13,59260046;48,96730053;547220;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus steingan drei scheïni Öpfibam mit kloani routi Äipfala.;;Heïsa;eï;Sa Bruada mechat si zwoa scheini neïchi Heïsa in engan Goatn baun.;
korrigiert: Link;45/17;18018;Schattawa (Záton);SCHATTAWA (ZￃﾁTON);13,79494123;48,94551277;547227;1;Marburg;6;Kurrent;Haus;au;Hinter unsern Haus stenan drei schöjni Äpflbam mit routi Äpfln.;;Heisa;ei;Sa Bruada wij si zwoa scheni ne͜iji Heisa i engern Gortn bau.;
korrigiert: Link;46/17;18028;Zaborsch (Záhorí);ZABORSCH (ZￃﾁHORￃﾍ);14,10381253;48,94718523;547235;1;Marburg;6;"Kurrent; Anmerkung des Lehrers am Ende von Seite 1: NS. n über dem Buchstaben = er wird nasal ausgesprochen. Diese Nasalität wird in der Transliteration mit (n) wiedergegeben.";Haus;au;Hinta unsan Haus steĩn(g)an 3 scheïni Oupfibẽima mit roin Eipfin.;;Heisa;ei;San Bruada wī sī zwoa schẽïni nui Heisa bãu in ẽïn(g)an Goatn;
korrigiert: Link;45/16;18058;Hirschbergen (Hiršperky/Jeleni);HIRSCHBERGEN (HIRￅﾠPERKY/JELENI);13,87892421;48,81591509;547295;1;Marburg;6;Kurrent;Haus;au;Hintan unsan Haus stejam drei schöjni Äipflbam mit roiti Äipfln.;;Häusa;äu;Sei Bruada wül si zwoa neuhi Häusa in engan Gorchtn bauu.;
korrigiert: Link;46/16;18064;Honetschlag (Hodňov);HONETSCHLAG (HODￅﾇOV);14,0740231;48,78213936;547300;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus steingan drei scheĩni Eipflbam mit roidi Epfeian.;;Heisa;ei;Sã Bruada wüll eam zwoa scheini Heisa in eingan Goachtn boũ.;
korrigiert: Link;45/15;18091;Kollerschlag;KOLLERSCHLAG;13,84145;48,60522;10301;1;Marburg;7;Lateinschrift;haus;au;Hinta unsan haus stehn drei sche äpflbäümö mit roidi äpfaö.;;haisa;ai;Sa bruada wü se zwoa scheni neie haisa in engan gortn bau.;
korrigiert: Link;46/15;18095;Sankt Thoma (Svatý Tomáš);SANKT THOMA (SVATￃﾝ TOMￃﾁￅﾠ);14,10455829;48,64006942;547504;1;Marburg;6;Kurrent;Haus;au;Hinter unsern Haus stehn drei schäne Äpfelbam mit roitn Apferln.;;Heiser;ei;Sei Bruada will sie zwoar schöne neie Heiser in engern Gorten bau.;
korrigiert: Link;47/15;18101;Hohenfurth (Vyšší Brod);HOHENFURTH (VYￅﾠￅﾠￃﾍ BROD);14,31207319;48,6157219;547512;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus stengan drei scheīni Eïpflbam mit roti Eïpfln.;;Heisn;ei;Sei Bruada wüll sie zwoa scheini neii Heisn in engen Gortn bau.;
korrigiert: Link;47/17;18132;Hummeln (Homole);HUMMELN (HOMOLE);14,42805572;48,93731559;547555;1;Marburg;6;Kurrent;Haus;au;Hintâ unsern Haus stengern trei Äpflbam mit rote Apfeln.;;Heisr;ei;Sei Bruada wll eam zwoa scheini neihi Heisr in engern Goatn bau.;
korrigiert: Link;48/17;18135;Rudolfstadt (Rudolfov);RUDOLFSTADT (RUDOLFOV);14,53884842;48,99293587;547559;1;Marburg;6;Kurrent;Haus;au;Hinter unser'm Haus steh'n drei schöini Äpfelbam mit kloan rotn Äpfln.;;Häuser;äu;Sein Bruder will si zwoa schöni neii Häuser in engern Gortn baun.;
korrigiert: Link;50/17;18144;Gross-Radischen;GROSS-RADISCHEN;15,12159;48,9312;6784;1;Marburg;7;Schreibmaschinenschrift;Haus;au;Hinter unsern Haus stengan drei scheni Apflbamerl mit scheni rote Apferln. ;;Haiser;ai;Se͠i Bruada wül si zwoa scheni neichi Haiser in engern Gårtn ba͠u.;
korrigiert: Link;47/16;18188;Priethal (Prídolí);PRIETHAL (PRￃﾍDOLￃﾍ);14,35130255;48,78070398;547572;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus steijgan drei Ouplbam mit roidi Äjpfl.;;Häusa;äu;Sei(n) Bruada wül si zwoa schöini neuhi Häusa in eingan Goa(r)t'n bau(n).;
korrigiert: Link;48/16;18192;Gollnetschlag (Klení);GOLLNETSCHLAG (KLENￃﾍ);14,62222893;48,76157409;547574;1;Marburg;6;Kurrent;Haus;au;Hint(a) uns(a)n Haus stajng(a)n drä Epflbam(a) mit roidi Epfln.;;Häs(a);ä;Sä Bruad(a) wl sie zwoa schajni nähi Häs(a) in ajng(a)n Gor(d)n bau.;
korrigiert: Link;49/16;18210;Weissenbach (Vysné);WEISSENBACH (VYSNￃﾉ);14,86460492;48,79093469;547583;1;Marburg;6;Kurrent;Haus;au;Hintar unserm Haus stejngan drei schejni Äjpfelbam mit roiti kloani Äjpfl.;;Haiser;ai;Sei Bruada wül sie zwoa schejni neichi Haiser in ejngern Goartan baũ.;
korrigiert: Link;50/16;18218;Langschwarza;LANGSCHWARZA;15,11402;48,77595;1825;1;Marburg;7;Kurrent;Haus;au;Hintan unsan Haus stegnan drei scheine Öpfebamerl mit rode Apfal.;;Häusa;äu;Sei Bruida wü se zwoa scheine neiche Häusa in eingan Goatn baun.;
korrigiert: Link;75/54;1829;Rudszen (Poltavskoe);RUDSZEN (POLTAVSKOE);22,5167;54,8167;541836;1;Marburg;1;Kurrent;Hus;u;Hinder ons Hus stoane drei hübsche Eppelbemkes met rode Eppelkes. ;;Hiser;i;Sin Broder well sick zwei schöne niee Hiser en hun Goarde bue.;
korrigiert: Link;48/15;18290;Unterwald;UNTERWALD;14,60020725;48,61371164;547611;1;Marburg;7;Kurrent;Haus;au;Hinta unsean Haus stehn 3 schöni Epfelbom mit roti Öpfl.;;Häusa;äu;Sei Bruada will si zwoa scheni neun Häusa in engan Gartn baun.;
korrigiert: Link;49/15;18296;Bad Grosspertholz;BAD GROSSPERTHOLZ;14,8248;48,62922;1213;1;Marburg;7;Lateinschrift;Haus;au;Hintern unsam Haus stemgan drei schöni Opfibam mit rodi Äpfi.;;Häusa;äu;Sei Bruada wül si zwoa scheni neichi Häusa in engan Goartn baun.;
korrigiert April 23: Link;50/15;18310;Oberstrahlbach;OBERSTRAHLBACH;15,1154;48,63319;9109;1;Marburg;8;Kurrent;Haunn’a;au;Hint uns Haunn'a 3 schene Apfibam mit rodi Apfi. ;;Heisa;ei;Sein Bruada wül sie' zwoa neuche schene Heisa in engan Gort'n bau'n.;
korrigiert April 23: Link;51/17;18359;Waldkirchen;WALDKIRCHEN;15,35237;48,93926;8215;1;Marburg;8;Kurrent;Haus;au;Hinter unsem Haus stengan drei schene Opfelbamerl mit rote Apferl. ;;Häuser;äu;Sein Bruader will sich zwoa schene neiche Häuser in engern Gortn baun.;
korrigiert: Link;52/17;18364;Hafnerluden (Lubnice);HAFNERLUDEN (LUBNICE);15,61331894;48,93919862;547669;1;Marburg;6;Kurrent;Haus;au;Hinter unsern Haus stehn drei schöne Äpfelbam mit rote Apferln. ;;Häuser;äu;Sein Bruader will sich zwa schöne neichi Häuser in engern Goarten baun.;
korrigiert: Link;53/17;18367;Schiltern (Štítary);SCHILTERN (ￅﾠTￃﾍTARY);15,84398284;48,93495691;540964;1;Marburg;6;Kurrent;;;Hintaus bei uns do stengan drei schene Epflbam mit rode Apferln.;;Heiser;ei;Sei Bruider wüll sie zwa schene neiche Heiser in enkern Gortn baun.;
korrigiert: Link;54/17;18407;Töstitz (Těšetice);TￃﾖSTITZ (TￄﾚￅﾠETICE);16,15731666;48,88788008;547920;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus stengan drei schene Äpfölbam mit rote Apfaln.;;Heisa;ei;Se̊i Bruida wül se zwa schene neiche Heisa in engan Goatn båu.;
korrigiert: Link;76/54;1842;Warupönen (Fëdorovka);WARUPￃﾖNEN (FￃﾋDOROVKA);22,81669606;54,80000132;541847;1;Marburg;1;Kurrent;Hus;u;Hinder ons Hus stane drei schöne Äppelbömkes met rode Äppelkes.;;Hiēser;iē;Sien Broder well sich zwei schöne niee Hiēser en jun Garde buė;
korrigiert April 23: Link;51/16;18432;Dietmanns;DIETMANNS;15,3815;48,79309;8704;1;Marburg;8;Lateinschrift;Haus;au;Hinta unßen Haus steñgan drei scheĩni Äpfibam̃ mid rodi Apfal.;;Heisa;ei;Sẽi Bruada wü si zwoa schẽni neichi Heisa in en͠gan Goãtn bo͠n.;
korrigiert April 23: Link;52/16;18441;Schirmannsreith;SCHIRMANNSREITH;15,63866;48,77886;6309;1;Marburg;8;"Kurrent; Schreiber verwendet Nummerierungen, die in der Transliteration wiedergegeben werden und zu deren Bedeutung Anmerkungen auf Seite 2 vorhanden sind; Anmerkung des Schreibers am Ende von Seite 1: *) Erläuterungen umstehend! ";Haus;au;Hinta unsan Haus stengan drei scheni Åpfibamaln mit rodi Apfaln.;;Heisa;ei;Sei Bruida wü si zwoa scheni neichi Heisa i eingan Goadn baun.;
korrigiert April 23: Link;53/16;18454;Hofern;HOFERN;15,90257;48,77849;1855;1;Marburg;8;Kurrent;Haus;au;Hinta unsan Haus stengan drei schene Apfelbamerl mit roti Äpfel. ;;Häusa;äu;Sei Bruada wüll sie zwoa schene neui Häusa in engan Gartn baun.;
korrigiert: Steinicke, überprüft: Link;56/46;185;Jelnia;JELNIA;16,96984;53,75059;158846;1;Marburg;1;"Kurrent; gut lesbare Schrift; kaum Korrekturen; als Sonderzeichen lediglich zweimal Akut in Nr. 6 und Makron in Nr. 19; auf Seite 2 nach NB nichts bemerkt";Hus;u;Hinner usem Hus staua drei Aeppelbömkas mit roda Aeppelkas. ;;Hüser;ü;Sien Broider will sick zwe schön nich Hüser in jugchem Gaudä buggen.;
korrigiert April 23: Link;54/16;18508;Gerstenfeld (Ječmeniště);GERSTENFELD (JEￄﾌMENIￅﾠTￄﾚ);16,13160996;48,7465636;547955;1;Marburg;8;Kurrent;Heisl;ei;Hinta unsan Heisl stengan drei schene Opfelbam mit roten Öpfln.;;Heisln;ei;Mei Bruida wüll si zwoa scheni neichi Heisln in engan Gorde bau.;
korrigiert: Link;51/15;18525;Franzen;FRANZEN;15,39468;48,61876;2862;1;Marburg;7;Phonetische Schrift;Haus;au;Hiñdan Haus stėŋan dreii schėni Ėpfibamal mid rǫdi Apfel.;;Heisa;ei;Seiñ Bruadan wüi si in ėngan Gǫadn zwǫa schėni (H) neichi Heisa bauñ.;
korrigiert: Link;52/15;18534;Rosenburg;ROSENBURG;15,63736;48,62925;7482;1;Marburg;7;Lateinschrift;Haus;au;Hinta unserm Haus stehn 3 schöne Opfelbam mit rodn Apferln.;;Häuser;äu;Sei Bruader wül sie zwa schöne neiche Häuser in engern Gart'n baun.;
korrigiert April 23: Link;53/15;18554;Oberdürnbach;OBERDÜRNBACH;15,84912;48,58705;6575;1;Marburg;8;Kurrent;Haus;au;Hinter unsern Haus stengan drei schöni Opfelbamerl mit roti Apferln.;;Heisa;ei;Sej Bruida wüll si zwoa schöni neichi Heisa in engan Gortn bau (bon);
korrigiert April 23: Link;54/15;18559;Aspersdorf;ASPERSDORF;16,09658;48,58647;6083;1;Marburg;8;Kurrent;Haus;au;Hinta unsan Haus stean 3 scheni Öpfübam mid rodi Äpfü.;;Heisa;ei;Sei(n) Bruida wü si zwoa scheni neucha Heisa in engan Goadn bau(n).;
korrigiert: Link;55/17;18607;Damnitz (Damnice);DAMNITZ (DAMNICE);16,37348031;48,91950827;547963;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus stengan drei schene Opflbam mit rotn Apfaln.;;Haisa;ai;Sei Bruida wüll se zwa schene naiche Haisa in engan Goatn ba(n).;
korrigiert: Link;56/17;18627;Tracht (Strachotín);TRACHT (STRACHOTￃﾍN);16,65177623;48,90542723;548003;1;Marburg;6;Kurrent;Haus;au;Hintr unsrn Haus stengr trei schene Äpflbam mit rote Äpfln. ;;Haisr;ai;Sein Bruidr wül si in engrn Gortn zwa schene neie Haisr aufbaun.;
korrigiert: Link;57/17;18637;Saitz (Zajecí);SAITZ (ZAJECￃﾍ);16,76723342;48,8738553;548013;1;Marburg;6;Kurrent;Haus;au;Hintr unsrm Haus stëin 3 schëini Äplbama mit roidi Äpln.;;Haisr;ai;Sein Brudr wüll si zwa schëini Haisr in engan Gortn bauna.;
korrigiert: Link;55/16;18642;Höflein an der Thaya (Hevlín);HￃﾖFLEIN AN DER THAYA (HEVLￃﾍN);16,38060332;48,75125755;548015;1;Marburg;6;Kurrent;Haus;au;Hinta unsan Haus schtengan drai schäne Äpfelbam mit rode Apfaln. ;;Haisa;ai;Sei Bruida wül eam zwoa schöne naiche Haisa in engan Goatn bau.;
korrigiert April 23: Link;56/16;18672;Stützenhofen;STￃﾜTZENHOFEN;16,61147;48,74191;8827;1;Marburg;8;"Lateinschrift & Kurrent; manchmal fehlt der u-Kringel bei der Kurrentschrift";Haus;au;Hinta unsam Haus stengan drei scheni Opflbamal mit roti Apfal. ;;Heisa;ei;Seii Bruoda wül sie zwoa scheni neiihi Heisa in engan Goot'n bou.;
korrigiert: Link;57/16;18686;Bernhardsthal;BERNHARDSTHAL;16,86919;48,69199;8563;1;Marburg;7;Kurrent;Haus;au;Hinte unsan Haus stengan 3 schene Äpflbamal mit rote Äpfeln.;;Häusa;äu;Sein Bruida wüll sie zwoa Häusa in engan Goat'n bau'n.;
korrigiert April 23: Link;55/15;18701;Pyhra;PYHRA;16,38001;48,59086;1666;1;Marburg;8;Lateinschrift;Haus;au;Hinta unsam Haus stengan drei schömi Apfelbamal mit rotn Äpfln. ;;Häusa;äu;Sei Bruida wül si zwaa schöni neuchi Häusa in engan Gortn bon.;
korrigiert: Link;56/15;18707;Wilfersdorf;WILFERSDORF;16,64461;48,58654;3395;1;Marburg;7;Kurrent;Haus;au;Hinta unsan Haus ste(n)gan drei scheini Opfelbem mit rode Apfal. ;;Heisa;ei;Sei(n) Bruada wül si' zwoa schöni neuchi Heisa in enkern Gordn bau'n.;
korrigiert: Link;57/15;18716;Palterndorf;PALTERNDORF;16,81931;48,58918;2578;1;Marburg;7;Lateinschrift;Haus;au;Hinta unsan Haus stengan drei Apfelbamarln mit roti Apfarl;;Häusa;äu;Sein Bruadar will (wüll) sie zwoa scheni neuchi Häusa in enkan Goart'n baun.;
korrigiert: Link;64/18;18753;Münchwies (Vrícko);MￃﾜNCHWIES (VRￃﾍCKO);18,7060573;48,96952464;548044;1;Marburg;6;Kurrent;Haus;au;Hintr unsam Haus stej drei schejna Öpelbam mit rautn Öpel.;;Haisr;ai;Sei Brudr weill am eiam Goatn zwä(?) schejna Haisr bau.;
korrigiert: Link;64/17;18759;Bettelsdorf (Solka);BETTELSDORF (SOLKA);18,65497127;48,86560792;548029;1;Marburg;6;Lateinschrift;Háus;áu;Hendr ons'm Háus schté drái schéna Opepam met rout'n Äplen.;;Hájsr;áj;Sa2i Prúdr béj r'm zba schéna nai/a/ Hájsr 'n ons'm Go/a/'n pa͜2u.;
korrigiert: Link;65/17;18763;Oberstuben (Horná Stubna);OBERSTUBEN (HORNￃﾁ STUBNA);18,88553826;48,82156122;548031;1;Marburg;6;Phonetische Schrift;haus;au;hindɒ onzĕm haus štê drae šêmo ępplpâm mit hrộtɒ ęppɒlɒ.;;haezɒ;ae;zộɒ prudɒ bệl em tsbā šê̜nɒ nai̭ɒ haezɒ ɒrajem go̜ɒtn̥ paûn.;
korrigiert: Link;64/16;18767;Krickerhäu (Handlová);KRICKERHￃﾄU (HANDLOVￃﾁ);18,75578607;48,72212455;548032;1;Marburg;6;Lateinschrift;Haus;au;Hinta onsam Haus schtē(ⁿ) drei schöne Öpplbām met rotn Öppela. ;;Haisa;ai;Seiⁿ Bruder bill ehm zwa schöna naija Haisa ei aijam Gårtn bauen.;
korrigiert: Link;65/16;18773;Deutsch-Litta (Kopernica);DEUTSCH-LITTA (KOPERNICA);18,87405447;48,68562767;548035;1;Marburg;6;Kurrent;Haus;au;Hajntr aunsem Haus staṵḭ drei schaujini Opplbama mit rä͜jutn Äppl.;;Häuser;äu;Sei Bräj͜udr bill sich zwa̠ scha͜uini neue Häuser an enkom Ga͜uoten ba̰ṵ.;
korrigiert: Link;64/15;18774;Hochwiesen (Vel'Ké Pole);HOCHWIESEN (VEL'Kￃﾉ POLE);18,56458171;48,54111692;548036;1;Marburg;6;Kurrent;Haus;au;Hinta unsam Haus stih drei schüna Öpelbahma mit rutn Öpala.;;Häusa;äu;Sei Bruder bell si zwa schüna neua Häusa a enkan Go̊tn båu.;
korrigiert April 23: Link;43/13;18786;Sankt Georgen bei Obernberg am Inn;SANKT GEORGEN BEI OBERNBERG AM INN;13,33412;48,29152;6302;1;Marburg;8;Kurrent;Haus;au;Hinter insern Haus stengan drei schene Öpflbamal mit roidi Apfal.;;Heisa;ei;Sein Bruada mecht si zwoa scheni neichi Heisa in engan Gartn baun.;
korrigiert: Link;41/12;18800;Hochburg;HOCHBURG;12,87807;48,13026;3260;1;Marburg;7;Kurrent;Haus;au;Hinta unsan Haus hant drei recht schäni Öpfölbam mit roti Öpfö. ;;Heisa;ei;Sei Bruada wecht sö zwoa schäni neui Heisa a dein Goatn eini bau.;
korrigiert: Link;42/12;18805;Pischelsdorf am Engelbach;PISCHELSDORF AM ENGELBACH;13,08331;48,12996;2067;1;Marburg;7;Kurrent;Huus;uu;Hinta unsen Huus stengan 3 schenö Öpföbamal mit rotä Apfal.;;Häusa;äu;Sein Bruada wui sö zwoa schönö neichö Häusa in engan Goatn baun.;
korrigiert April 23: Link;45/14;18846;Niederkappel;NIEDERKAPPEL;13,88061;48,46514;4511;1;Marburg;8;Kurrent;haus;au;Hinta unsan haus stengan drei scheni Öpfölbamal mit reoti Öpfäl.;;Heisa;ei;Sei Bruada wül sö zvoa sheni neui Heisa ni engan Gartn bau.;
korrigiert April 23: Link;46/14;18855;Niederwaldkirchen;NIEDERWALDKIRCHEN;14,08545;48,45077;5870;1;Marburg;8;Lateinschrift;Haus;au;Hinta insan Haus stengan 3 Öpflbam mit röide Apfein.;;Häusa;äu;Sa Bruada wü se zwoa neuche schene Häusa an Garchtn bau.;
korrigiert: Link;44/13;18902;Dorf an der Pram;DORF AN DER PRAM;13,62778;48,27893;6387;1;Marburg;7;Kurrent;Haus;au;Hinda unsan Haus san 3 scheni Öpfi mit raodi Opfi.;;Häusa;äu;Sei Bruada wi si 2 scheni neichi Häusa in engan Goohdn bau.;
korrigiert: Link;45/13;18910;Michaelnbach;MICHAELNBACH;13,83155;48,28803;1824;1;Marburg;7;Kurrent;Haus;au;Hinta insan Haus stend drei scheni Åbfåltan mit reode Öpfl.;;Heisa;ei;Sei Bruada will sö in engan Gårten zwa scheni neichö Heisa baun.;
korrigiert April 23: Link;46/13;18923;Alkoven;ALKOVEN;14,10729;48,28632;5939;1;Marburg;8;Kurrent;Haus;au;Hintá insán Haus schtengán drei scheni Äpföbám mit rotö Äpfä.;;Heisá;ei;Seĩ Bruádá wü sö zwåá schenö neiche Heisá in engán Gåátn baũ.;
korrigiert: Link;71/53;1895;Königlich Damerau;KￃﾖNIGLICH DAMERAU;21,33071539;54,71800592;541892;1;Marburg;1;Kurrent;Hus;u;Hinda onsem Hus stahne dre schönste Apelbem met rode Aeppel. ;;Hüsa;ü;Sein Broda well seck twe schöne niee Hüsa in junem Gade bue.;
